type,properties/_umap_options/popupShape,properties/_umap_options/labelInteractive,properties/name,properties/description,geometry/type,lon,lat
Feature,Default,true,ACROBALLES,"**Spectacle**: Mecanikoum
**Genre | Public**: spectacle de feu | 3 ans et +
**Durée**: 35 minutes
**Lien**  : [[http://acroballes.com/le-feu/mecanikoum/]]
**
{{https://i.imgur.com/4OB2bg6.jpg}}

**Description**:
*""Le feu est au cœur de la machine, asservi par l’homme pour produire le Grand Inutile. Dans une fuite en avant rythmée par le souffle du contremaître, le travailleur accélère son geste jusqu’à l’absurde, jusqu’à l’épuisement, jusqu’à la rupture.*
*Puis il faut reconstruire… se reconstruire en s’émerveillant de la magie de la flamme, de l’absolue nécessité des corps en mouvement, les pieds sur la terre, la tête remplie d’air, le cœur noyé dans un océan de musique.*
*Sur un ton enjoué et burlesque, les Acroballes rejouent la fable des temps modernes. Le clown trouve enfin sa place au milieu des flammes.""*
",Point,7.482816,48.82565
Feature,Default,true,ASSOCIATION TEDUA,"**Spectacle**: 
**Genre | Public**:  | 
**Durée**: minutes
**Lien**  : [[http]]
**
{{https://i.imgur.com/}}

**Description**:
*""   ""*
",Point,-0.558844,44.861405
Feature,Default,true,CIE MONDE À PART,"**Spectacle**: Bête Beurk
**Genre | Public**:  Théâtre et musique | à partir de 6 ans
**Durée**: 50 minutes
**Lien**  : [[https://ciemondeapart.com/bete-beurk/]]
**
{{https://i.imgur.com/Fuq9zDl.jpg}}

**Description**:
*""ET  SI  AU  COMMENCEMENT,  LA  TERRE ÉTAIT PLATE !Tout commence ainsi... On va en visiter, si vous le voulez bien, les deux faces... Lʼune sèche, lʼautre humide : Et voilà « le délire » qui sʼinstalle... Une bête BEURK en-gendrée   par   nos   monstres   et   nos    peurs    contemporaines...    Une bête BEURK qui dévore  tout   sur   son   passage...   Une prin-cesse  Marjolaine,  aussi  belle  et  bonne  que  naïve. ET    VOILA    LE    TEMPS  DʼUNE  RENCONTRE  IMPROBABLE  !  Et  le monde change..""* 
",Point,-0.178066,43.70695
Feature,Default,true,CIRQUE PÉPIN,"**Spectacle**: C’est peut-être
**Genre | Public**:  Cirque | à partir de 3 ans
**Durée**: 45 minutes
**Lien**  : [[http://cirquepepin.com/spectacles/cest-peut-etre-creation-2019-2/]]
**
{{https://i.imgur.com/4a00GN5.jpg}}

**Description**:
*""C’est  peut-être...  nous  dessine un univers poétique dans lequel on  pourra  suivre  l’histoire  d’un  personnage   qui   n’est   jamais   sorti de chez elle et n’en ressent pas l’envie.Une  collision  entre  son  univers  et  celui  d’un  voyageur  à  la  re-cherche   de   tous   les   sons   du   monde va les bousculer tous les deux. Suivra un étonnant voyage pendant lequel les deux person-nages vont pouvoir se découvrir et tenter d’accorder leur univers.C’est peut-être... est un hymne à l’ouverture et à la curiosité.""*
",Point,4.887103,45.76818
Feature,Default,true,COMPAGNIE DU BUTOR,"**Spectacle**: Au square de La Fontaine
**Genre | Public**: Théâtre Burlesque | à partir de 6 ans
**Durée**: 50 minutes
**Lien**  : [[https://www.compagniedubutor.com/squaredelafontaine]]
**
{{https://i.imgur.com/SAxwfXI.jpg}}

**Description**:
*"" Deux   cantonniers,   habitués   à   travailler ensemble depuis long-temps,  redécouvrent  les  fables  de  La  Fontaine  en  installant  le  mobilier   urbain   d’un   nouveau   square  :  le  square  de  la  fon-taine. L’un croit savoir qui c’est ; l’autre non. Malgré eux, les mots reviennent et le public va les ai-der...""*
",Point,1.907973,49.005546
Feature,Default,true,COMPAGNIE L'AURORE,"**Spectacle**: La Fortune de Jeanne
**Genre | Public**: Marionnettes, musique et détritus | à partir de 6 ans
**Durée**: 55 minutes
**Lien**  : [[http://compagnie-l-aurore.com/spectacles/la-fortune-de-jeanne/]]
**
{{https://i.imgur.com/Za68R1U.jpg}}

**Description**: Le cerf aux sabots d’argent
*""Dans  une  décharge  à  ciel  ou-vert,  trois  éboueurs  découvrent  Jeanne : un bébé venu d’Afrique et  livré  avec  toute  sa  fortune.  Mais c’est quoi la Fortune ?Pour  répondre  à  cette  question,  il  y  aura  un  pêcheur,  sa  femme  et  un  roi  sans  scrupule,  trois  singes savants et globe-trotters, une magicienne désespérée, une chatte qui adore les poubelles et un oiseau de la chance.Des personnages en calebasses et matériaux de récupération, ré-unis  pour  raconter  une  histoire  originale inspirée de trois contes africains  sur  les  illusions  de  la  fortune .""*
**Spectacle**: 
**Genre | Public**:  Marionnettes et clown en liberté  | à partir de 6 ans
**Durée**: 50 minutes
**Lien**  : [[http://compagnie-l-aurore.com/spectacles/le-cerf-au-sabot-dargent/]]
**
{{https://i.imgur.com/fRLSH7c.jpg}}

**Description**:
*"" C’est l’histoire d’un vieil homme qui s’ennuie, d’une petite fille en quête  de  merveilleux,  et  de  leur  rencontre  autour  d’un  livre  de  contes.C’est  l’histoire  d’un  marionnet-tiste qui a perdu sa voix et d’une clown   qui   cherche   son   chat.   Deux   histoires   parallèles,   réu-nies  autour  de  cette  question  :  Le cerf au sabot d’argent existe- t-il ?  Et si oui, peut-on le voir ici et maintenant ?Dans   l’espoir   d’apercevoir   cet   animal  fantastique,  le  marion-nettiste  et  la  clown  vont  faire  vivre la petite fille et le vieux avec les objets qui les entourent.""*
",Point,-0.042019,44.581145
Feature,Default,true,COMPAGNIE LES ZANIMOS,"**Spectacle**: 
**Genre | Public**:   | 
**Durée**: minutes
**Lien**  : [[http]]
**
{{https://i.imgur.com/}}

**Description**:
*""   ""*
",Point,7.729477,48.576217
Feature,Default,true,COMPAGNIE NI,"**Spectacle**: 
**Genre | Public**:  | 
**Durée**: minutes
**Lien**  : [[http]]
**
{{https://i.imgur.com/}}

**Description**:
*""   ""*
",Point,7.751702,48.584571
Feature,Default,true,NOMADENKO,"**Spectacle**: 
**Genre | Public**:  | 
**Durée**: minutes
**Lien**  : [[http]]
**
{{https://i.imgur.com/}}

**Description**:
*""   ""*
",Point,2.007688,43.459293
Feature,Default,true,P'TITS BOUTS ET CIE,"**Spectacle**: 
**Genre | Public**:  | 
**Durée**: minutes
**Lien**  : [[http]]
**
{{https://i.imgur.com/}}

**Description**:
*""   ""*
",Point,1.569811,45.427529
